Date;Beras;Beras Kualitas Bawah I;Beras Kualitas Bawah II;Beras Kualitas Medium I;Beras Kualitas Medium II;Beras Kualitas Super I;Beras Kualitas Super II
03-01-2022;9,60;9,500;9,000;8,600;8,250;10,600;10,050
04-01-2022;9,700;9,500;9,000;8,600;8,250;10,800;10,250
05-01-2022;9,700;9,500;9,000;8,600;8,250;10,800;10,250
06-01-2022;9,700;9,500;9,000;8,600;8,250;10,800;10,250
07-01-2022;9,700;9,500;9,000;8,600;8,250;10,800;10,250
10-01-2022;9,750;9,500;9,000;8,850;8,500;10,800;10,250
11-01-2022;9,750;9,500;9,000;8,850;8,500;10,800;10,250
12-01-2022;9,750;9,500;9,000;8,850;8,500;10,800;10,250
13-01-2022;9,750;9,500;9,000;8,850;8,500;10,800;10,250
14-01-2022;9,750;9,500;9,000;8,850;8,500;10,800;10,250
17-01-2022;9,750;9,500;9,000;8,850;8,500;10,800;10,250
18-01-2022;9,750;9,500;9,000;8,850;8,500;10,800;10,150
19-01-2022;9,750;9,500;9,000;8,850;8,500;10,800;10,150
20-01-2022;9,750;9,500;9,000;8,850;8,500;10,800;10,150
21-01-2022;9,750;9,500;9,000;8,850;8,500;10,800;10,150
24-01-2022;9,750;9,500;9,000;8,850;8,500;10,800;10,150
25-01-2022;9,700;9,500;9,000;8,850;8,500;10,750;10,150
26-01-2022;9,700;9,500;9,000;8,850;8,500;10,750;10,150
27-01-2022;9,700;9,500;9,000;8,850;8,500;10,750;10,150
28-01-2022;9,700;9,500;9,000;8,850;8,500;10,750;10,150
31-01-2022;9,700;9,500;9,000;8,850;8,500;10,750;10,150
01-02-2022;-;-;-;-;-;-;-
02-02-2022;9,700;9,500;9,000;8,850;8,500;10,750;10,150
03-02-2022;9,700;9,500;9,000;8,850;8,500;10,750;10,150
04-02-2022;9,700;9,500;9,000;8,850;8,500;10,750;10,150
07-02-2022;9,700;9,500;9,000;8,850;8,500;10,750;10,150
08-02-2022;9,700;9,500;9,000;8,850;8,500;10,750;10,150
09-02-2022;9,700;9,500;9,000;8,850;8,500;10,750;10,150
10-02-2022;9,700;9,500;9,000;8,850;8,500;10,750;10,150
11-02-2022;9,700;9,500;9,000;8,850;8,500;10,750;10,150
14-02-2022;9,700;9,500;9,000;8,850;8,500;10,750;10,150
15-02-2022;9,700;9,500;9,000;8,850;8,500;10,750;10,100
16-02-2022;9,700;9,500;9,000;8,850;8,500;10,750;10,100
17-02-2022;9,700;9,500;9,000;8,850;8,500;10,750;10,100
18-02-2022;9,700;9,500;9,000;8,850;8,500;10,750;10,100
21-02-2022;9,700;9,500;9,000;8,850;8,500;10,750;10,100
22-02-2022;9,700;9,500;9,000;8,850;8,500;10,750;10,100
23-02-2022;9,700;9,500;9,000;8,850;8,500;10,750;10,100
24-02-2022;9,700;9,500;9,000;8,850;8,500;10,750;10,100
25-02-2022;9,700;9,500;9,000;8,850;8,500;10,750;10,100
28-02-2022;-;-;-;-;-;-;-
01-03-2022;9,650;9,250;9,000;8,850;8,500;10,750;10,000
02-03-2022;9,600;9,250;9,000;8,850;8,500;10,700;9,900
03-03-2022;-;-;-;-;-;-;-
04-03-2022;9,600;9,250;9,000;8,850;8,500;10,700;9,900
07-03-2022;9,600;9,250;9,000;8,850;8,500;10,700;9,900
08-03-2022;9,600;9,250;9,000;8,850;8,500;10,700;9,900
09-03-2022;9,600;9,250;9,000;8,850;8,500;10,650;9,900
10-03-2022;9,650;9,250;9,000;8,850;8,500;10,650;10,050
11-03-2022;9,600;9,250;9,000;8,850;8,500;10,600;10,000
14-03-2022;9,600;9,250;9,000;8,850;8,500;10,600;10,000
15-03-2022;9,600;9,250;9,000;8,850;8,500;10,600;10,000
16-03-2022;9,600;9,250;9,000;8,850;8,500;10,600;10,000
17-03-2022;9,600;9,250;9,000;8,850;8,500;10,600;10,000
18-03-2022;9,600;9,250;9,000;8,850;8,500;10,600;10,000
21-03-2022;9,500;9,250;9,000;8,700;8,400;10,500;9,700
22-03-2022;9,500;9,250;9,000;8,700;8,400;10,500;9,700
23-03-2022;9,500;9,250;8,900;8,700;8,400;10,500;9,800
24-03-2022;9,500;9,250;8,900;8,700;8,400;10,500;9,800
25-03-2022;9,500;9,250;8,900;8,700;8,400;10,500;9,800
